Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
529672,Bezděkov pod Třemšínem,134,105,103,12,0,0,10,0,13,11,2,0,1,0,1,11,0,0,0,32,0,1,3,0,0,0,1,5,0
564559,Bohostice,167,108,108,12,0,0,9,0,5,22,1,0,0,0,0,7,0,0,5,37,0,0,4,0,0,0,1,5,0
539953,Bohutín,1417,925,920,93,1,2,50,0,45,75,12,6,13,2,1,88,1,1,50,348,1,2,30,1,7,2,0,88,1
539970,Borotice,302,202,202,18,1,0,20,0,13,13,3,0,0,0,0,23,0,0,9,65,0,0,15,0,4,0,1,16,1
539988,Bratkovice,252,167,166,29,0,0,11,0,11,15,1,0,1,0,0,11,0,0,9,40,0,0,9,0,7,0,0,22,0
564664,Bukovany,69,54,54,2,0,0,3,0,1,5,1,0,1,0,0,4,1,0,3,23,0,0,1,0,0,0,1,8,0
540021,Buková u Příbramě,283,206,206,22,0,0,21,0,15,17,4,3,3,0,0,24,0,0,14,66,0,0,5,0,1,1,0,10,0
540013,Březnice,2841,1612,1605,142,1,0,157,5,111,148,15,9,17,3,1,153,1,1,67,504,1,4,58,0,13,3,7,174,10
564419,Cetyně,134,99,99,7,0,0,7,0,6,9,1,0,1,0,0,10,0,0,1,46,0,0,5,0,0,0,1,5,0
540323,Chotilsko,379,231,229,33,3,2,6,0,17,16,3,2,1,0,0,37,0,0,10,72,1,0,5,0,2,2,0,17,0
540358,Chraštice,209,146,146,19,1,0,13,0,8,5,0,1,0,0,0,23,0,0,11,49,0,0,7,0,0,0,0,9,0
564249,Chrást,178,107,107,9,0,0,14,0,11,11,2,3,2,0,0,11,0,0,3,21,0,0,3,0,1,0,0,16,0
540099,Daleké Dušníky,344,231,230,30,0,0,20,0,19,21,7,3,1,0,1,43,0,0,6,54,0,1,5,0,3,0,1,15,0
513504,Dlouhá Lhota,308,205,205,30,1,0,18,1,9,6,0,4,5,0,0,24,0,0,8,63,0,1,13,0,2,0,1,19,0
540111,Dobříš,6994,4559,4518,663,9,1,325,3,232,280,83,31,83,6,4,687,0,3,305,1188,4,10,182,1,27,10,8,363,10
540129,Dolní Hbity,739,551,549,54,1,0,62,0,44,51,8,6,11,0,0,41,0,0,14,206,0,0,16,0,1,1,0,31,2
599298,Drahenice,132,88,88,3,0,0,11,1,6,18,2,2,0,0,0,15,0,0,3,17,0,1,0,0,0,0,1,8,0
540145,Drahlín,445,315,314,25,0,0,26,1,10,25,2,7,4,0,0,29,2,0,12,132,0,0,9,0,0,1,0,29,0
540170,Drevníky,266,161,160,21,0,0,18,0,12,8,2,0,2,0,0,21,0,0,12,39,0,0,9,0,1,0,1,14,0
540188,Drhovy,212,136,136,20,1,0,6,1,10,5,2,0,1,0,0,18,0,0,7,45,1,0,1,0,0,1,1,15,1
540153,Drásov,345,257,256,36,0,0,26,0,9,20,2,2,3,1,0,24,0,0,11,97,0,0,7,0,0,0,0,18,0
598381,Dubenec,744,366,364,23,2,1,24,0,11,25,8,10,7,1,0,56,0,0,17,128,1,0,6,0,2,2,4,30,6
540218,Dublovice,881,533,531,61,0,1,33,0,52,47,7,5,5,0,2,64,0,0,19,161,1,1,23,0,0,1,0,48,0
564508,Dubno,234,174,174,28,0,0,6,0,13,15,4,1,2,0,0,17,1,0,10,48,0,0,15,0,0,0,0,14,0
540242,Hluboš,506,334,334,47,0,1,14,0,24,27,2,3,3,0,0,37,0,0,7,114,0,0,14,0,5,0,1,35,0
564605,Hlubyně,126,81,80,1,0,0,9,0,12,4,0,2,0,0,0,6,0,0,4,29,0,1,5,0,2,0,0,5,0
564257,Horčápsko,84,64,64,10,0,0,9,0,1,7,0,2,2,1,0,1,0,0,4,20,0,0,0,0,0,0,0,5,2
513580,Hudčice,210,114,113,6,0,0,14,0,17,14,1,0,1,0,1,9,0,0,6,34,0,0,2,0,0,0,0,8,0
540315,Hvožďany,663,453,451,28,0,1,33,1,97,60,5,6,4,0,0,55,0,1,14,104,0,1,13,0,1,0,1,25,1
598402,Háje,337,237,235,38,0,0,4,0,14,23,2,3,4,0,0,19,0,0,10,80,0,1,2,0,3,0,0,32,0
540285,Hřiměždice,337,226,225,32,0,0,8,0,21,13,5,3,5,0,0,25,0,0,13,67,0,0,7,0,0,0,1,24,1
540374,Jablonná,332,213,213,12,0,0,10,0,16,33,5,4,1,0,0,21,0,0,8,73,0,0,4,0,0,0,0,25,1
540391,Jesenice,442,277,276,23,0,0,23,1,34,15,0,3,9,1,0,35,0,0,12,79,0,0,15,0,0,1,0,25,0
540404,Jince,1698,970,965,65,5,2,57,2,41,206,27,6,25,4,4,87,1,2,33,260,0,2,22,0,4,3,5,96,6
540439,Kamýk nad Vltavou,741,481,476,47,0,0,23,0,123,37,8,6,5,1,1,42,0,0,19,107,1,0,13,0,3,2,0,38,0
540447,Klučenice,394,266,255,26,1,0,23,0,17,18,2,1,3,0,0,21,0,0,7,65,0,0,36,0,0,0,0,35,0
599204,Korkyně,95,74,74,8,0,0,4,0,6,6,4,0,1,0,0,11,1,0,5,23,0,0,1,0,0,0,0,4,0
540498,Kosova Hora,1080,678,675,55,0,0,43,0,83,36,10,18,5,0,1,92,0,0,22,196,0,1,41,0,2,3,0,67,0
513555,Kotenčice,168,122,121,20,1,0,13,0,2,8,2,1,2,0,0,16,0,0,5,30,0,0,7,0,0,0,1,13,0
529681,Koupě,98,56,56,2,0,0,14,0,1,8,1,1,0,0,0,1,0,0,3,18,0,0,0,0,0,0,0,7,0
540536,Kozárovice,333,213,210,22,0,0,18,0,11,28,2,1,2,0,0,18,0,0,3,64,0,0,7,0,1,0,2,31,0
540552,Krásná Hora nad Vltavou,867,534,529,45,1,0,36,0,66,29,3,5,4,1,1,58,2,2,19,159,0,3,33,2,2,1,1,54,2
598461,Kňovice,261,162,160,11,0,0,9,0,30,8,1,3,2,0,0,19,0,1,5,54,0,0,8,0,0,0,0,9,0
540579,Křepenice,152,112,112,22,1,0,7,0,14,3,3,0,0,0,0,13,0,0,3,35,0,0,2,0,0,0,0,9,0
540587,Křešín,102,87,87,16,0,0,6,0,1,18,0,3,2,0,0,3,0,0,0,14,0,0,0,0,1,0,3,14,6
564346,Lazsko,168,129,128,17,0,0,9,1,13,7,1,0,3,0,0,14,0,0,5,37,0,0,11,0,1,0,0,9,0
513521,Lešetice,151,109,109,8,1,0,9,0,7,10,1,5,0,0,0,5,0,0,5,35,1,0,7,0,0,0,1,14,0
598411,Lhota u Příbramě,398,266,263,28,0,0,18,0,10,29,3,5,4,1,0,24,0,0,8,99,0,1,11,0,0,1,1,20,0
540625,Láz,485,334,331,27,0,0,29,0,12,25,6,2,3,2,1,30,0,0,25,129,0,0,6,0,2,1,1,30,0
540714,Malá Hraštice,802,537,531,62,0,0,33,1,39,23,12,3,5,0,3,63,0,0,19,192,1,1,15,0,4,1,1,49,4
540749,Milešov,270,160,160,13,0,0,22,0,11,23,2,1,0,0,0,10,0,0,3,47,0,0,7,0,1,0,0,20,0
540757,Milín,1699,1059,1051,93,1,1,73,0,43,100,15,14,12,1,1,125,0,1,48,376,0,0,42,1,11,1,4,87,1
599751,Modřovice,64,42,42,6,0,0,3,0,3,3,2,1,2,0,0,2,0,0,1,15,0,0,2,0,0,0,0,2,0
540781,Mokrovraty,608,376,374,42,0,0,13,0,23,25,8,4,3,3,3,77,2,0,24,101,0,0,10,0,1,0,0,35,0
540790,Nalžovice,445,282,280,23,0,0,10,0,30,14,3,1,4,0,0,48,0,1,10,86,0,1,9,0,0,1,1,35,3
564478,Narysov,224,142,142,12,0,0,11,0,8,16,1,1,0,0,1,17,0,0,12,45,0,0,4,0,2,0,0,12,0
540846,Nechvalice,528,318,318,37,0,1,12,0,43,10,5,2,6,0,0,31,0,0,4,75,0,1,64,0,7,1,0,19,0
540820,Nedrahovice,355,250,249,26,1,0,13,0,30,13,3,3,13,0,0,21,0,0,8,64,0,1,18,0,2,1,0,32,0
564524,Nepomuk,162,102,101,10,0,0,1,0,4,14,1,1,0,0,0,16,0,0,3,32,0,0,0,0,3,0,1,14,1
564222,Nestrašovice,44,32,32,4,0,0,4,0,2,1,0,0,0,0,0,1,0,0,2,10,0,0,1,0,1,0,0,5,1
540811,Nečín,632,397,391,40,0,0,27,0,33,33,3,4,12,1,0,38,0,0,15,122,0,1,16,0,4,0,0,41,1
540889,Nová Ves pod Pleší,922,631,616,110,0,0,31,0,36,33,16,4,2,0,4,95,0,0,42,154,0,0,34,0,4,1,1,46,3
540897,Nové Dvory,210,147,147,23,0,0,9,1,9,4,2,6,0,0,2,32,0,0,8,31,1,1,2,0,1,1,0,13,1
540901,Nový Knín,1587,1067,1060,146,0,1,68,1,51,90,11,17,19,3,7,148,0,2,43,302,1,2,37,0,3,0,1,106,1
540935,Obecnice,1022,665,655,76,2,1,61,0,30,71,3,4,10,1,1,49,0,0,35,196,1,2,20,0,3,1,4,79,5
540943,Obory,209,151,150,13,0,0,13,0,22,14,2,3,1,0,0,11,1,0,8,46,0,0,3,0,0,1,0,11,1
540951,Obořiště,529,346,346,32,1,0,27,1,19,27,0,5,10,0,0,32,0,0,26,97,1,0,20,0,2,1,1,43,1
513571,Občov,127,100,100,20,0,0,8,0,8,11,0,2,2,0,0,9,0,0,6,24,0,0,2,0,0,0,0,8,0
540960,Ohrazenice,233,155,155,15,0,0,4,0,10,9,0,1,5,0,0,33,0,0,4,62,0,0,4,0,0,0,0,7,1
598470,Osečany,206,125,122,13,0,0,8,0,10,9,0,1,0,0,0,19,0,0,1,39,0,0,10,0,0,1,0,11,0
598372,Ostrov,92,59,58,4,0,0,0,0,11,5,1,0,2,0,0,8,0,0,3,17,0,1,1,0,0,0,0,5,0
541010,Ouběnice,190,134,133,32,0,0,13,0,7,2,1,3,0,1,0,19,0,0,7,32,0,0,4,0,0,0,0,12,0
541044,Petrovice,1093,770,769,66,1,0,28,0,160,39,8,8,4,0,1,119,2,0,34,157,0,0,66,0,7,0,0,69,0
541028,Pečice,300,165,163,16,0,0,10,0,8,21,3,6,2,0,0,13,0,0,4,55,0,0,10,0,0,0,0,14,1
541052,Pičín,490,310,308,32,2,0,23,0,12,38,1,3,4,0,0,25,2,0,8,111,0,0,8,0,0,0,0,37,2
564486,Podlesí,884,532,527,57,0,1,53,0,38,44,10,5,9,0,1,53,0,0,40,152,1,1,13,0,3,0,0,46,0
564214,Počaply,79,43,43,5,0,0,3,0,6,4,0,0,4,0,0,4,0,0,0,13,0,0,0,0,1,0,0,3,0
541087,Počepice,438,277,273,19,0,0,21,0,37,19,1,2,5,0,0,35,0,0,6,82,0,0,19,0,1,0,1,25,0
